Sex,Words_Elf,Words_Hobbit,Words_Man,Percent_Elf,Percent_Hobbit,Percent_Man
Female,331,0,401,0.23076,0,0.27957
Male,513,2463,3589,0.35765,1.7171400000000001,2.50216
